Model #,Description,lines,orders,total_spend,avg_line_spend
S-16847S,Uline Heavy Utility Gloves - Small ,1,1,69.0,69.0
S-14803,Warehouse Aisle Sign Kit ,1,1,68.0,68.0
S-21834,Sani-Wipe&reg; Sanitizing Wipes - 95 ct ,1,1,66.0,66.0
S-13526,"Drawstring Trash Liners - 1.4 Mil, 55 Gallon 100/carton ",1,1,64.0,64.0
S-18815BL,Neoprene Apron - Black ,1,1,63.0,63.0
S-210,"IBM Style Open End Packing List Envelopes - Clear, 4 x 8""   1,000/carton ",1,1,62.0,62.0
S-4315,"7 x 7 x 7"" Corrugated Boxes 25/bundle ",1,1,61.0,61.0
S-22168,"13 x 8 x 6"" Corrugated Boxes 25/bundle ",1,1,60.5,60.5
S-5108,"Uline Industrial Trash Liners - 40-45 Gallon, 1.5 Mil, Black   100/carton ",1,1,60.0,60.0
H-543BLU,Uline Plastic Truck Seals - Blue 100/Pack ,1,1,57.0,57.0
H-7202,Rubbermaid&reg; Maximizer&trade; Standing Dust Pan ,1,1,57.0,57.0
S-4645,"20 x 16 x 16"" Corrugated Boxes 15/bundle ",1,1,56.85,56.85
S-24648,Binder Clips - Small 144/pack ,1,1,55.0,55.0
S-1299,"9 x 12"" 2 Mil Reclosable Bags 1,000/carton ",1,1,54.0,54.0
S-21836,Air Wick&reg; Scented Oil Refill - Fresh Linen 12/carton ,1,1,54.0,54.0
S-20582BL,Storage Clipboard - Black ,1,1,51.0,51.0
S-23041W,"Drawstring Trash Liners - .7 Mil, 8 Gallon, White 400/carton ",1,1,51.0,51.0
S-12417BLU,"Plastic Stackable Bins - 11 x 11 x 5"", Blue ",1,1,50.4,50.4
H-4095,"Vornado&reg; Room Fan - 7"" ",1,1,50.0,50.0
S-16863,"Uline Industrial Vinyl Safety Tape - 4"" x 36 yds, White 12 rolls/case ",1,1,49.8,49.8
H-3475,"Microfiber Deluxe Dust Mop Kit - 48"" ",1,1,49.0,49.0
S-18355,"18 x 18 x 12"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",1,1,49.0,49.0
H-2240D,"Dividers for Magnum Hopper Bins - 20 x 12"", Black 3/pack ",1,1,48.0,48.0
H-2755R,Uline Folding Knife - Red ,1,1,48.0,48.0
H-4288,Uline Quick Change Folding Knife ,1,1,48.0,48.0
S-19089,"13 x 13 x 9"" Corrugated Boxes 25/bundle ",1,1,48.0,48.0
S-25416,"3M Post-it&reg; Notes - Super Sticky, 3 x 3"", Assorted Brights   12/pack ",1,1,48.0,48.0
S-827,"Steel Strapping Seals - Open, 1/2"" 1,000/carton ",1,1,48.0,48.0
H-40,Standard Steel Strapping Cutter ,1,1,47.0,47.0
H-2029,Swingline&reg; 747 Classic Desktop Manual Stapler ,1,1,46.0,46.0
S-7319,"Uline Economy Trash Liners - Natural, 20-30 Gallon, .39 Mil   500/carton ",1,1,45.0,45.0
S-7121W,"Economy Wet Mop Head - 24 oz, White ",1,1,43.5,43.5
S-23323-L,Uline Dyneema&reg; Diamond Cut Resistant Gloves - Large ,1,1,42.0,42.0
S-26249,Bigelow&reg; Tea - Green 28/box ,1,1,42.0,42.0
S-4418,"36 x 12 x 12"" Long Corrugated Boxes 15/bundle ",1,1,40.95,40.95
S-14752,"Uline 4-in-1 Plastic Utensil Kit - Standard Weight, White 250/box ",1,1,40.0,40.0
S-19530,"Hanging File Folders - Letter, Green 25/box ",1,1,40.0,40.0
S-4724,"18 x 10 x 4"" Corrugated Boxes 25/bundle ",1,1,39.75,39.75
H-2761,Lobby Broom and Dust Pan Combo ,1,1,39.0,39.0
S-19890-L,Uline Super Gription&reg; Foam Nitrile Coated Gloves - Large 12   pairs/carton ,1,1,39.0,39.0
S-21620-L,Leather Palm Safety Cuff Gloves - Large 12 pairs/carton ,1,1,39.0,39.0
S-5632,"Uline Self-Seal White Bubble Mailers #1 - 7 1/4 x 12"" 100/case ",1,1,39.0,39.0
